prod_year,area_planted,production,value,price
1995_96,68,80,96000,1200
1996_97,71,120,166975,1391.46
1997_98,125,200.9,220088,1095.51
1998_99,130,187.9,226028,1202.65
1999_00,94,153.5,197294,1285.54
2000_01,134,226.1,280933,1242.54
2001_02,124,223,448442,2010.95
2002_03,100,136.5,339547,2487.16
2003_04,135,220,469643,2134.74
2004_05,150,272.5,347293,1274.47
2005_06,241,424,622195,1467.44
2006_07,183,205,480379,2343.31
2007_08,165,282,1135405,4026.26
2008_09,238,516,1644693,3187.39
2009_10,311,566,1430826,2527.96
2010_11,418,710,2255238,3176.39
2011_12,472,650,2394900,3684.46
2012_13,516,784.5,3680598,4691.65
2013_14,503,948,5260791,5549.36
2014_15,687,1070,5063106,4731.87
2015_16,503,742,4606115,6207.7
2016_17,574,1316,6439513,4893.25
2017_18,787,1540,7075417,4594.43
2018_19,730,1170.3,5477581,4680.31
2019_20,705,1245.5,7878121,6325.27
2020_21,827,1897,13 698 313,7 221.04
2021_22,925,2 230,18 965 632,8 504.77
